model_name,graph_layers,graph_hidden_channels,graph_norm,activation,heads,aggr,residual,use_edge_features,learning_rate,weight_decay,dropout,dataset,val_rmse,test_rmse,val_mae,test_mae,val_r2,test_r2,epochs_trained,train_time_s,seed,success,K
GIN,3,64,GraphNorm,gelu,1,mean,True,True,0.0001,0.0001,0.2,Half_Life_Obach,105.83731896612602,16.92258103184313,25.578073501586914,7.099836826324463,-0.017404137852245594,0.3917935937986117,97,114.47,42,True,
Transformer,2,128,LayerNorm,leaky_relu,8,mean,True,False,0.001,0.001,0.2,Half_Life_Obach,105.82865444463754,17.80404301707638,26.501419067382812,8.471354484558105,-0.017237562219723834,0.32678302914031054,1,24.82,42,True,
GCN,4,128,BatchNorm,gelu,1,add,False,False,0.001,0.001,0.1,Half_Life_Obach,103.29986122026011,16.509524284177413,26.757049560546875,9.228126525878906,0.030795736586271216,0.4211221870787112,35,69.21,42,True,
GCN,3,256,GraphNorm,swish,1,add,False,True,0.001,1e-05,0.3,Half_Life_Obach,104.95856232193493,17.92390804183584,24.61420440673828,7.812618255615234,-0.0005794667770309125,0.31768770092295073,15,61.85,42,True,
Transformer,4,128,BatchNorm,relu,8,add,False,False,0.0005,1e-05,0.3,Half_Life_Obach,105.04903523920389,20.24374556793136,25.690834045410156,9.158394813537598,-0.002305183234082575,0.1296387923882628,59,153.98,42,True,
Graph,4,64,BatchNorm,gelu,1,max,False,True,0.0001,1e-05,0.2,Half_Life_Obach,106.48483698542483,19.95294222826431,26.7515869140625,8.773576736450195,-0.029891278798824583,0.15446483200249073,10,27.82,42,True,
Graph,4,64,BatchNorm,relu,1,max,True,False,0.0001,1e-05,0.1,Half_Life_Obach,106.5845880700512,17.929068786982757,28.68838119506836,9.986246109008789,-0.03182171120894339,0.31729473452245305,1,20.3,42,True,
SAGE,2,128,BatchNorm,relu,1,mean,False,False,0.0001,0.0001,0.2,Half_Life_Obach,106.11082336848348,17.600412086517586,25.772262573242188,8.358813285827637,-0.022669276055914622,0.3420945893394186,25,36.96,42,True,
GCN,4,64,BatchNorm,relu,1,max,True,True,0.0005,1e-05,0.3,Half_Life_Obach,106.08866427427579,18.47979375154413,26.417293548583984,8.27484130859375,-0.022242193164225377,0.2747094394897869,6,25.23,42,True,
GCN,3,256,BatchNorm,gelu,1,mean,False,True,0.0005,0.001,0.1,Half_Life_Obach,104.47693375812672,15.82094713233258,25.08331298828125,8.064239501953125,0.00858228171008446,0.46840272736700317,40,83.74,42,True,
GIN,4,128,LayerNorm,relu,1,max,False,True,0.0001,1e-05,0.1,Half_Life_Obach,106.65399298080686,19.448213329480534,26.34661102294922,8.159531593322754,-0.03316593576212057,0.1967010396142297,33,65.69,42,True,
SAGE,2,256,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.1,Half_Life_Obach,105.36076879732086,21.995609885794185,26.68562126159668,12.479011535644531,-0.008262701303281217,-0.027518860831689196,40,67.13,42,True,
SGC,2,128,LayerNorm,swish,1,max,True,True,0.0001,1e-05,0.2,Half_Life_Obach,105.95666308979818,17.32581508640223,25.917373657226562,8.090276718139648,-0.019699919053821846,0.36246338017214697,4,22.48,42,True,2.0
Graph,3,64,LayerNorm,relu,1,add,False,False,0.001,0.001,0.3,Half_Life_Obach,105.58686441740753,17.027399758310043,26.07900619506836,8.210561752319336,-0.012594643431464991,0.3842357798403,25,35.29,42,True,
TAG,4,256,GraphNorm,relu,1,mean,True,True,0.0001,0.0001,0.3,Half_Life_Obach,106.41517491939295,19.261006961219763,26.53660011291504,8.169690132141113,-0.028544215896211256,0.2120915430882523,1,66.75,42,True,
Graph,4,64,LayerNorm,gelu,1,max,True,True,0.001,1e-05,0.2,Half_Life_Obach,105.76761821323197,17.653857691911135,26.225881576538086,8.71124267578125,-0.01606452561690186,0.33809291714196965,3,21.72,42,True,
GCN,4,64,BatchNorm,relu,1,max,True,True,0.001,0.001,0.2,Half_Life_Obach,105.08142768973259,16.62022664086594,24.991466522216797,7.961368083953857,-0.0029234112205982488,0.4133329876594434,47,63.91,42,True,
GAT,2,128,LayerNorm,leaky_relu,4,add,True,True,0.0001,1e-05,0.1,Half_Life_Obach,107.0295027229642,20.901031527091774,26.893957138061523,8.341300010681152,-0.04045393012941623,0.07220243959348949,2,22.61,42,True,
SGC,2,64,BatchNorm,relu,1,add,True,True,0.0001,0.0001,0.2,Half_Life_Obach,106.52706063924556,18.923436951686476,26.35231590270996,8.281257629394531,-0.030708191245855998,0.2394674245566749,10,22.36,42,True,2.0
SAGE,2,64,BatchNorm,leaky_relu,1,mean,True,False,0.0001,0.0001,0.3,Half_Life_Obach,105.74036322078008,18.004071940683655,26.568811416625977,8.685853004455566,-0.015540938844390784,0.3115708285803188,2,14.63,42,True,
